2008,1,3,50000.0
2008,1,4,53482.0
2008,1,7,53821.0
2008,1,8,55673.0
2008,1,9,55964.0
2008,1,10,53720.0
2008,1,11,57358.0
2008,1,14,51719.0
2008,1,15,66133.0
2008,1,16,78417.0
2008,1,17,95422.0
2008,1,18,97031.0
2008,1,22,103031.0
2008,1,23,101837.0
2008,1,24,99263.0
2008,1,25,106706.0
2008,1,28,103592.0
2008,1,29,102822.0
2008,1,30,115097.0
2008,1,31,106507.0
2008,2,1,93800.0
2008,2,4,99423.0
2008,2,5,114459.0
2008,2,6,121542.0
2008,2,7,117061.0
2008,2,8,121086.0
2008,2,11,114196.0
2008,2,12,115720.0
2008,2,13,103792.0
2008,2,14,108286.0
2008,2,15,109733.0
2008,2,19,114712.0
2008,2,20,112125.0
2008,2,21,116474.0
2008,2,22,116013.0
2008,2,25,113111.0
2008,2,26,113790.0
2008,2,27,115865.0
2008,2,28,118643.0
2008,2,29,126409.0
2008,3,3,129582.0
2008,3,4,129892.0
2008,3,5,128192.0
2008,3,6,137643.0
2008,3,7,142417.0
2008,3,10,150001.0
2008,3,11,139980.0
2008,3,12,141330.0
2008,3,13,133782.0
2008,3,14,144559.0
2008,3,17,162046.0
2008,3,18,130285.0
2008,3,19,149826.0
2008,3,20,136968.0
2008,3,24,118582.0
2008,3,25,108295.0
2008,3,26,113394.0
2008,3,27,125672.0
2008,3,28,130861.0
2008,3,31,127600.0
2008,4,1,118459.0
2008,4,2,115197.0
2008,4,3,116469.0
2008,4,4,107926.0
2008,4,7,106860.0
2008,4,8,106368.0
2008,4,9,110132.0
2008,4,10,106399.0
2008,4,11,113529.0
2008,4,14,116277.0
2008,4,15,113760.0
2008,4,16,108898.0
2008,4,17,111712.0
2008,4,18,113456.0
2008,4,21,108109.0
2008,4,22,114478.0
2008,4,23,122542.0
2008,4,24,120939.0
2008,4,25,117911.0
2008,4,28,119690.0
2008,4,29,114931.0
2008,4,30,110132.0
2008,5,1,96243.0
2008,5,2,104936.0
2008,5,5,97318.0
2008,5,6,94849.0
2008,5,7,104875.0
2008,5,8,100063.0
2008,5,9,102682.0
2008,5,12,101026.0
2008,5,13,93533.0
2008,5,14,95330.0
2008,5,15,92588.0
2008,5,16,87919.0
2008,5,19,93192.0
2008,5,20,96726.0
2008,5,21,106647.0
2008,5,22,110349.0
2008,5,23,110794.0
2008,5,27,109655.0
2008,5,28,106146.0
2008,5,29,103045.0
2008,5,30,95092.0
2008,6,2,103252.0
2008,6,3,108495.0
2008,6,4,116902.0
2008,6,5,109651.0
2008,6,6,125047.0
2008,6,9,121255.0
2008,6,10,129493.0
2008,6,11,134809.0
2008,6,12,133040.0
2008,6,13,125303.0
2008,6,16,122765.0
2008,6,17,120434.0
2008,6,18,122714.0
2008,6,19,126653.0
2008,6,20,130574.0
2008,6,23,129317.0
2008,6,24,133857.0
2008,6,25,133262.0
2008,6,26,141423.0
2008,6,27,143292.0
2008,6,30,142163.0
2008,7,1,142697.0
2008,7,2,155167.0
2008,7,3,155136.0
2008,7,7,153648.0
2008,7,8,147861.0
2008,7,9,158486.0
2008,7,10,151327.0
2008,7,11,157889.0
2008,7,14,161607.0
2008,7,15,172010.0
2008,7,16,168774.0
2008,7,17,161444.0
2008,7,18,166630.0
2008,7,21,172168.0
2008,7,22,165860.0
2008,7,23,159209.0
2008,7,24,180283.0
2008,7,25,171953.0
2008,7,28,184391.0
2008,7,29,168328.0
2008,7,30,159634.0
